클래스ID,클래스명,한글명,mAP50(%),mAP50-95(%),설명
0,full_body,전신,98.8,95.9,반려동물 전신 부위 (01~13 촬영각도)
1,head,머리,86.8,71.9,반려동물 두상 부위 (14~19 촬영각도)
2,nose,코,78.9,63.5,반려동물 비문 부위 (20 촬영각도)
전체,-,-,88.2,77.1,평균 성능

