모델명,용도,클래스수,훈련시간(시간),mAP50(%),mAP50-95(%),특이사항
Health,전신 건강 체크,3,21.5,88.2,77.1,가장 높은 정확도
Eyes,안구질환 감지,30,72.0,25.35,21.48,30가지 질환 분류
Skin,피부질환 감지,6,38.0,18.3,8.3,하이퍼파라미터 튜닝 완료
합계,-,39,131.5,-,-,총 5.5일 GPU 가동

